Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day
awynhl2s,0,0,0,0,0,1,False,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
9lald01s,0,0,0,0,0,1,False,0,1,0,0,1,0,1,0,0,0,0,1,0,0,10,18
umov1m9v,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
nx3m9rfb,0,0,0,0,0,1,True,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1
fr6gl2dy,0,0,0,0,0,1,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,18
odbf5vf3,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,28
mwhp4ukr,0,0,0,0,0,1,False,0,0,0,1,1,0,0,1,0,0,0,1,0,0,10,18
wn4nmnx3,0,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,28
jze59nus,0,0,0,0,0,1,True,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
fm1nat1u,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,28
nw2had6j,0,0,0,0,0,1,False,0,1,0,1,0,0,0,0,1,0,0,1,0,0,10,18
dh1azuyf,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,28
1ks3pztv,0,0,0,0,1,0,False,0,0,1,1,1,0,0,1,0,0,0,1,0,0,4,28
72x349vh,0,0,0,0,0,1,False,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
0j7sltet,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,18
dtdqptc4,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4,28
t8p2addc,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
rafh2gox,0,0,0,0,0,1,False,0,1,1,1,0,0,1,0,0,0,0,1,0,0,10,18
4q119ps9,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,18
48l6ksr9,0,0,0,0,1,0,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
utk3g19f,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
a6dkgcl8,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,18
1c7ihndk,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
x5t4h10c,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
l939he5r,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
2mxlq8t1,0,0,0,0,0,1,False,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10,18
jzwe4pud,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1
69mqsfau,0,0,0,0,0,1,False,1,0,1,0,0,0,1,0,0,0,0,1,0,0,10,18
18s9hehm,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,28
muyipcgd,0,0,0,0,0,1,False,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
r33mt0a1,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,0,1,0,1,0,0,10,18
7vyed7up,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
f61kl8dh,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,18
enesyu8e,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
qksapoqf,0,0,0,0,0,1,True,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1
cgqv9s3q,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,18
3b539w3k,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
1hv7mcha,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,18
8hs2b4yn,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,28
2qn4dc7v,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
ycjdtyly,0,0,0,0,0,1,False,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10,18
c47tawtr,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,28
w62cszxu,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
ubtaf9cx,0,0,0,0,0,1,False,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
f9sm8fs0,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,18
ve0fw3ka,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
zy90kbe9,0,0,0,0,0,1,False,1,0,0,1,1,0,0,0,1,0,0,1,0,0,10,18
7an5mu9a,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
6uit5x99,0,0,0,0,0,1,False,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
kl2gmpxq,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,18
qygsomr5,0,0,0,0,0,1,False,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,28
n47ggvmb,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
5e16fya5,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,19
4isznn7q,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,4,28
fdzgyrsb,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
79t5dlox,0,0,0,0,0,1,False,0,1,1,0,0,0,1,0,0,0,0,1,0,0,10,19
183h7nbc,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,28
1is6gh64,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
xeoxvt38,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,19
eoolj43p,0,0,0,0,0,1,False,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
vwxr7u1d,0,0,0,0,0,1,False,0,0,1,1,1,0,0,0,1,0,0,1,0,0,10,19
aujuls53,0,0,0,0,1,0,False,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4,28
03zqeipb,0,0,0,0,0,1,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
xidxs2mu,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,28
3niyrz7c,0,0,0,0,0,1,False,0,1,1,0,1,0,1,0,0,0,0,1,0,0,10,19
8kn5nzgu,0,0,0,0,0,1,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,28
5ketz1rl,0,0,0,0,0,1,False,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,19
wveh3tc6,0,0,0,0,1,0,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
c8u6cmfn,0,0,0,0,0,1,False,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
1lpbj3l1,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,0,1,0,1,0,0,10,19
k5bh11gr,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,4,28
1arp5bxv,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,19
in1xv9xg,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
q0t14kap,0,0,0,0,0,1,False,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1
gjc5p935,0,0,0,0,0,1,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,19
d1c3b0mt,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4,28
8qlscbcb,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
z6fl9ykx,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10,19
3t0o3qnj,0,0,0,0,0,1,False,0,1,1,0,0,0,0,0,1,0,0,1,0,0,4,28
u87tldb4,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
oe4f4tu8,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,0,1,0,1,0,0,10,19
onuc1qkk,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
9isd1owj,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,19
8subtcmv,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10,19
0scel6q1,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4,28
v36fq0a9,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,19
ssjholxd,0,0,0,0,0,1,True,1,0,0,0,1,0,0,1,0,0,0,1,0,0,10,19
823fipp9,0,0,0,0,1,0,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
js62k8vm,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,19
2x6dybse,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
92k3amyy,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10,19
d4zfyyz8,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4,28
7wa9rsv1,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
ymye5wdr,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,19
lfys7m2n,0,0,0,0,0,1,False,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,28
vkga0dgk,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,19
1rjy9dcp,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,29
vwgqs359,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,19
tyzxmfw8,0,0,0,0,1,0,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,5,29
ovtjfp2i,0,0,0,0,0,1,False,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
8c0s0kwe,0,0,0,0,0,1,False,0,1,0,1,0,0,0,0,1,0,0,1,0,0,10,19
7g7z86oo,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,29
w6tb1hlr,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,19
e1t1dtmp,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,29
hc0rk244,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
39lmx2v9,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5,29
hs2b5xe7,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
zzmt0k56,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,10,19
zpvpvli6,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
3qbgnuab,0,0,0,0,0,1,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,19
waae3rlk,0,0,0,0,1,0,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,5,29
5jb54fhb,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,19
9q3rpupz,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,1,0,0,1,0,0,10,19
2gd3188q,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
8bf5lnb4,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,29
mrcppf7j,0,0,0,0,0,1,False,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
9iwaj679,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,10,19
c8ml3xpq,0,0,0,0,0,1,False,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,29
yfhjrd27,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,19
rttxn1pn,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,29
hb25tto1,0,0,0,0,0,1,False,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
a2o7p2sp,0,0,0,0,0,1,False,1,0,1,0,1,0,0,0,1,0,0,1,0,0,10,19
le3wkacj,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,29
jfffzumy,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
hm18ug2i,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,19
d5dt4hqc,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,5,29
jlbtq0xh,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,20
2au6mbw9,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,29
cvms56hn,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
49rc82yz,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10,20
bsalcvb7,0,0,0,0,0,1,False,0,1,1,1,1,0,0,0,1,0,0,1,0,0,5,29
io3sdr6j,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
8qmq73bj,0,0,0,0,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,0,0,5,29
wn3ia2pu,0,0,0,0,0,1,False,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1
4cs3e3kr,0,0,0,0,0,1,True,0,0,1,1,1,0,0,1,0,0,0,1,0,0,10,20
zrkeg0n5,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,29
vt8hqvl3,0,0,0,0,0,1,False,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
mspaik68,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,29
wup99hvf,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
7p50cwx3,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,20
aneyhxgl,0,0,0,0,0,1,True,1,0,0,0,1,0,1,0,0,0,0,1,0,0,5,29
3d2xtlky,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
0ym95bg6,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,20
jckw3mh0,0,0,0,0,1,0,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,29
sdjbm2g3,0,0,0,0,0,1,False,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
osnpvzf1,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,10,20
w7optcdf,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,29
6jb1ykke,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
t9nfagpd,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10,20
2wn404z9,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,29
mzboujgi,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
qjditj0r,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,20
78g3k18n,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,29
vtx1azw1,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,20
k7u4z3kd,0,0,0,0,1,0,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,29
vdq5wccq,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
8btn0p84,0,0,0,0,0,1,False,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,29
wbivhmzf,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
qihn206w,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,20
134rja2y,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
7upb0rhv,0,0,0,0,0,1,False,0,0,1,1,1,0,0,0,1,0,0,1,0,0,10,20
08bc05yx,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
rncgtxil,0,0,0,0,0,1,False,0,1,0,1,0,0,1,0,0,0,0,1,0,0,5,29
djjui78f,0,0,0,0,0,1,False,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
r55w4thb,0,0,0,0,0,1,False,0,0,1,1,1,0,0,0,1,0,0,1,0,0,10,20
0yfsu42c,0,0,0,0,1,0,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,29
fobq3bxp,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
z8dibdeu,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,20
0rqnl52f,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
d2wjghy9,0,0,0,0,0,1,True,1,0,0,1,1,0,1,0,0,0,0,1,0,0,10,20
458nzmrx,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,29
8ma3zs59,0,0,0,0,0,1,False,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
yz33zhvo,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,5,29
00qhvzh1,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
ubnbhiyz,0,0,0,0,0,1,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
z9pvf9f9,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
ilgr02pq,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,29
7ijvt39f,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
jxx429j3,0,0,0,0,0,1,False,1,0,0,1,1,0,1,0,0,0,0,1,0,0,10,20
xrum3nhj,0,0,0,0,0,1,False,0,0,1,1,1,0,0,0,1,0,0,1,0,0,5,29
qm1wy9mh,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
7bvm5tgt,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,20
83u8jcbz,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,29
sr0kwvy8,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
czdvsc6d,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,20
