Id,Status,Price,Days,Discount,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
jck55wbd,Demo 1,450,76,False,0,0,1,0,0,0,0,1,0,0,0
h493pfxh,Closed Lost,360,0,False,0,0,1,0,0,0,0,1,0,0,0
0wymszvw,Closed Won,120,0,False,0,0,0,0,1,0,1,0,0,0,0
e3gleq5r,Demo 1,0,33,True,0,1,0,0,0,0,0,0,0,1,0
68z2e14h,Closed Won,1344,31,False,0,1,0,0,0,0,0,0,1,0,0
zcvegu22,Closed Won,960,0,False,0,0,0,0,1,0,1,0,0,0,0
afivu0ad,Closed Won,120,-284,False,0,1,0,0,0,0,0,0,1,0,0
osgn4234,Negotiation,768,0,False,0,0,1,0,0,0,1,0,0,0,0
tkoghufn,Closed Won,1008,0,False,0,1,0,0,0,0,0,0,1,0,0
javll9xi,Checkbox,300,0,False,0,1,0,0,0,0,1,0,0,0,0
mhtrpofn,Closed Lost,240,0,False,0,1,0,0,0,0,0,1,0,0,0
zly6yc6x,Closed Lost,1344,6,False,0,0,1,0,0,0,0,0,0,1,0
kjhvaa7o,Closed Lost,240,6,False,0,0,1,0,0,0,0,0,1,0,0
bi10s29x,Negotiation,960,0,False,0,0,0,0,1,0,1,0,0,0,0
dwjfamjd,Closed Won,768,0,False,0,1,0,0,0,0,0,1,0,0,0
w9ufwx5o,Closed Won,300,4,False,0,0,1,0,0,0,0,0,1,0,0
6mrt4tlu,Closed Won,1344,0,False,0,1,0,0,0,0,1,0,0,0,0
xhkfife6,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
y8p7i6cq,Demo 1,0,173,True,0,0,1,0,0,0,0,0,0,1,0
p67jkcab,Closed Won,1344,1,False,0,1,0,0,0,0,0,0,1,0,0
51ifjt3f,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
9znb8r95,Closed Won,1344,0,False,0,1,0,0,0,0,0,0,0,1,0
c066aytf,Closed Won,324,0,False,0,0,1,0,0,0,0,0,1,0,0
b0xkfuj2,Closed Lost,768,245,False,0,1,0,0,0,0,0,0,1,0,0
exut3bnp,Closed Won,576,3,False,0,1,0,0,0,0,0,0,1,0,0
i7f6btlu,Closed Won,240,0,False,0,1,0,0,0,0,0,0,1,0,0
5mm6gtlz,Closed Won,240,0,False,0,1,0,0,0,0,0,0,0,1,0
wwlwly64,Closed Won,360,215,False,0,1,0,0,0,0,0,0,1,0,0
96urgb5e,Closed Won,960,0,False,0,0,1,0,0,0,0,0,1,0,0
288g5d5r,Negotiation,0,0,True,0,1,0,0,0,0,0,0,0,1,0
x8ef2uaj,Demo 1,240,-275,False,0,1,0,0,0,0,0,1,0,0,0
mjlorftl,Closed Won,200,0,False,0,0,1,0,0,0,0,0,1,0,0
3ok0nd9d,Closed Won,324,214,False,0,0,1,0,0,0,0,1,0,0,0
60cv8ar4,Demo 1,0,112,True,0,0,0,1,0,0,0,0,0,1,0
xihkl4rn,Negotiation,960,0,False,0,1,0,0,0,0,0,0,1,0,0
50pqgevs,Demo 1,0,42,True,0,1,0,0,0,0,0,0,1,0,0
8aoo5aif,Closed Lost,0,0,True,0,0,1,0,0,0,0,0,1,0,0
7vhju4cb,Negotiation,768,31,False,0,1,0,0,0,0,0,0,1,0,0
6vxmhio9,Negotiation,1008,0,False,0,0,1,0,0,0,1,0,0,0,0
7rg2xgw6,Closed Won,300,19,False,0,1,0,0,0,0,0,0,1,0,0
5n6xlvze,Negotiation,360,0,False,0,1,0,0,0,0,0,0,1,0,0
8yg2ktyb,Closed Won,300,0,False,0,0,0,0,1,0,0,1,0,0,0
e8m66cn7,Negotiation,0,0,True,0,1,0,0,0,0,0,1,0,0,0
jvcxt0hx,Negotiation,300,0,False,0,0,1,0,0,0,0,1,0,0,0
otiyixnh,Closed Lost,0,11,True,0,0,1,0,0,0,0,1,0,0,0
n7xyxn9h,Closed Won,240,0,False,0,1,0,0,0,0,0,0,1,0,0
eyjw9ydu,Closed Won,120,0,False,0,0,1,0,0,0,1,0,0,0,0
0otwjac7,Closed Won,14876,0,False,0,1,0,0,0,0,1,0,0,0,0
4d83bs7p,Closed Won,240,0,False,0,1,0,0,0,0,0,1,0,0,0
f1jiny0o,Closed Lost,200,0,True,0,1,0,0,0,0,0,0,1,0,0
bwrx3ael,Closed Won,240,0,False,0,0,0,0,1,0,0,0,1,0,0
ga5x5ohc,Closed Won,576,0,False,0,1,0,0,0,0,0,0,0,1,0
194gbb0w,Closed Lost,200,0,True,0,0,1,0,0,0,1,0,0,0,0
81a73dzr,Closed Lost,576,0,False,0,1,0,0,0,0,0,0,1,0,0
6isqpe81,Closed Lost,768,2,False,0,1,0,0,0,0,0,0,0,1,0
n124yb1s,Closed Won,960,0,False,0,1,0,0,0,0,1,0,0,0,0
sfsixfyw,Closed Won,300,0,False,0,1,0,0,0,0,0,0,0,1,0
zppu8nyk,Closed Lost,240,61,True,0,1,0,0,0,0,0,0,0,1,0
1recnp1e,Closed Won,768,0,False,0,1,0,0,0,0,0,1,0,0,0
xtpzigqr,Closed Lost,1344,3,False,0,1,0,0,0,0,0,0,0,1,0
iz6uq7fg,Demo 1,0,48,True,0,0,0,0,1,0,0,0,0,1,0
feni9v9i,Closed Won,960,0,False,0,1,0,0,0,0,0,0,1,0,0
5nxsvhpy,Closed Won,324,0,False,0,1,0,0,0,0,0,0,1,0,0
dv6tw5nc,Closed Won,1008,1,False,0,0,0,0,1,0,0,0,1,0,0
yc6jjubk,Closed Won,324,1,False,0,0,1,0,0,0,0,0,1,0,0
7tq43nwv,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
p86gp515,Closed Won,720,0,False,0,1,0,0,0,0,0,0,1,0,0
nm5k3jtx,Closed Lost,0,1,True,0,1,0,0,0,0,0,0,1,0,0
ri0x1wzk,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
6exqr5v3,Closed Lost,8014,10,False,0,0,1,0,0,0,0,0,1,0,0
7h1091nf,Closed Won,450,70,False,0,0,1,0,0,0,0,0,1,0,0
l8td1uxt,Closed Won,324,0,False,0,1,0,0,0,0,0,0,1,0,0
fffpl037,Closed Lost,1344,3,False,0,0,1,0,0,0,1,0,0,0,0
sh6w5l7r,Negotiation,300,0,False,0,1,0,0,0,0,0,0,1,0,0
rk8kyngl,Closed Won,768,0,False,0,1,0,0,0,0,0,0,0,1,0
llcxz6dm,Negotiation,1344,0,False,0,0,1,0,0,0,0,0,0,1,0
juy03jbv,Closed Won,768,0,False,0,0,0,0,1,0,0,0,0,1,0
hhylxso6,Closed Lost,300,92,True,0,1,0,0,0,0,0,1,0,0,0
1bftu3hh,Closed Lost,576,80,False,0,1,0,0,0,0,0,0,1,0,0
ds0zhhfh,Closed Won,360,3,False,0,0,1,0,0,0,1,0,0,0,0
a76jsb7c,Checkbox,1344,4,False,0,0,1,0,0,0,0,0,0,1,0
639ka38k,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
7gp0128i,Closed Won,458,0,False,0,0,0,0,1,0,0,0,0,1,0
aqyfe1s0,Closed Won,576,0,False,0,1,0,0,0,0,0,1,0,0,0
dmlsarg4,Closed Won,1344,61,False,0,1,0,0,0,0,0,0,0,1,0
3mo2wica,Closed Won,360,0,False,0,1,0,0,0,0,0,1,0,0,0
72dzy0wj,Closed Won,240,0,False,0,1,0,0,0,0,0,0,0,1,0
w01t78a3,Closed Won,360,2,False,0,1,0,0,0,0,0,1,0,0,0
czuu77sp,Closed Won,300,0,False,0,1,0,0,0,0,0,1,0,0,0
py7mzhxw,Closed Won,240,0,False,0,1,0,0,0,0,1,0,0,0,0
7g6gskfn,Closed Won,8014,0,False,0,0,0,0,1,0,0,0,1,0,0
7hlaz922,Closed Won,360,3,False,0,1,0,0,0,0,0,0,1,0,0
pjh07ju4,Closed Won,576,0,False,0,1,0,0,0,0,0,0,1,0,0
yhndnb3b,Demo 1,300,33,False,0,1,0,0,0,0,0,1,0,0,0
9fxlh4e3,Closed Won,450,0,False,0,0,1,0,0,0,0,1,0,0,0
639e4b2v,Closed Won,120,0,False,0,1,0,0,0,0,0,0,1,0,0
olpln55c,Closed Lost,300,14,False,0,1,0,0,0,0,0,1,0,0,0
sqlgtv8i,Closed Lost,200,0,True,0,1,0,0,0,0,0,0,0,1,0
9opuw6zt,Negotiation,240,0,False,0,1,0,0,0,0,0,0,0,1,0
kriy6sw7,Demo 1,240,264,False,0,1,0,0,0,0,0,1,0,0,0
4ffk9frh,Checkbox,360,1,False,0,0,0,0,1,0,0,0,1,0,0
aix92b45,Closed Won,1344,6,False,0,0,1,0,0,0,0,0,0,1,0
rv6e5ldw,Closed Won,200,0,False,0,1,0,0,0,0,0,0,1,0,0
kb8r8dr0,Closed Won,576,0,False,0,0,0,0,1,0,0,0,1,0,0
dke1bnez,Closed Won,1344,30,False,0,1,0,0,0,0,0,0,0,1,0
pqq9wpec,Closed Won,240,0,False,0,1,0,0,0,0,0,0,1,0,0
2tx1zdfg,Closed Lost,200,0,True,0,1,0,0,0,0,0,1,0,0,0
ckn43jx5,Closed Lost,0,109,True,0,1,0,0,0,0,0,0,1,0,0
h83mbduk,Closed Won,300,0,False,0,1,0,0,0,0,0,1,0,0,0
4ep26xqh,Closed Won,45744,0,False,0,1,0,0,0,0,0,0,1,0,0
9ccg79id,Closed Won,240,0,False,0,1,0,0,0,0,0,1,0,0,0
6p2rj2xe,Negotiation,768,0,False,0,0,1,0,0,0,0,0,1,0,0
679b8m18,Demo 1,0,264,True,0,1,0,0,0,0,0,0,1,0,0
e05ebbls,Closed Won,300,0,False,0,1,0,0,0,0,1,0,0,0,0
xz6xrs8r,Demo 1,0,63,True,0,1,0,0,0,0,0,0,1,0,0
5yf37r48,Closed Lost,1344,1,False,0,0,1,0,0,0,0,1,0,0,0
2ktfmndt,Closed Won,360,1,False,0,1,0,0,0,0,0,0,1,0,0
0ntnaqye,Closed Won,150,31,False,0,1,0,0,0,0,1,0,0,0,0
rg092esy,Demo 1,768,353,False,0,1,0,0,0,0,0,0,0,1,0
bloey9kk,Closed Won,150,171,False,0,0,0,0,1,0,0,0,1,0,0
1dmzvsmr,Closed Won,360,0,False,0,1,0,0,0,0,1,0,0,0,0
qqxsucdr,Negotiation,0,0,True,0,0,1,0,0,0,0,1,0,0,0
mtfenudq,Closed Won,240,0,False,0,1,0,0,0,0,1,0,0,0,0
40qkfj6l,Closed Lost,1344,22,False,0,1,0,0,0,0,0,0,0,1,0
px9udct8,Closed Won,768,0,False,0,1,0,0,0,0,0,1,0,0,0
oflxcfos,Closed Won,960,31,False,0,0,0,0,1,0,0,0,1,0,0
ndf502s3,Closed Won,200,0,False,0,1,0,0,0,0,1,0,0,0,0
qtlef5ah,Closed Won,960,0,False,0,1,0,0,0,0,0,1,0,0,0
ni9ersho,Closed Lost,360,30,False,0,0,0,0,1,0,0,0,1,0,0
3bty4oky,Closed Won,768,0,False,0,0,1,0,0,0,1,0,0,0,0
826utbcm,Closed Won,576,1,False,0,1,0,0,0,0,0,0,1,0,0
gxjboed5,Negotiation,600,0,False,0,1,0,0,0,0,0,0,0,1,0
shisqr67,Closed Won,1344,0,False,0,0,1,0,0,0,0,0,1,0,0
zxfja10b,Closed Won,240,0,False,0,1,0,0,0,0,0,0,1,0,0
zwp95waj,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
2iw6563f,Demo 1,324,42,False,0,1,0,0,0,0,0,0,1,0,0
cnawt51h,Closed Won,300,0,False,0,1,0,0,0,0,0,0,0,1,0
zyxx6295,Closed Won,150,111,False,0,0,1,0,0,0,0,1,0,0,0
b1kh5ct3,Closed Won,1680,0,False,0,1,0,0,0,0,1,0,0,0,0
ezn6xdj3,Closed Won,324,0,False,0,1,0,0,0,0,0,0,0,1,0
6i73rdhu,Closed Lost,150,123,False,0,1,0,0,0,0,1,0,0,0,0
g6wq6vnf,Closed Won,1344,0,False,0,0,1,0,0,0,0,0,1,0,0
eb5fi1st,Closed Lost,360,3,False,0,1,0,0,0,0,1,0,0,0,0
mkcbpiza,Demo 1,0,78,True,0,1,0,0,0,0,0,0,1,0,0
cdyyygy2,Closed Lost,0,0,True,0,0,1,0,0,0,0,1,0,0,0
q7sgpahz,Closed Lost,200,0,True,0,1,0,0,0,0,0,0,1,0,0
hyizcxnw,Demo 1,0,76,True,0,1,0,0,0,0,1,0,0,0,0
bsw0vzh6,Closed Won,120,0,False,0,0,1,0,0,0,0,1,0,0,0
8i2d003s,Closed Won,1008,0,False,0,1,0,0,0,0,0,1,0,0,0
79gteql2,Closed Won,300,0,False,0,0,0,0,1,0,0,0,1,0,0
fqfr3vgj,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
c2riz5ly,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
18kobh4l,Checkbox,420,-244,True,0,0,0,0,1,0,1,0,0,0,0
yqw6ty7x,Checkbox,1344,0,False,0,1,0,0,0,0,0,1,0,0,0
ybc74kqx,Closed Lost,0,37,True,0,0,0,0,1,0,0,0,1,0,0
8jd5v6m6,Closed Won,240,0,False,0,1,0,0,0,0,0,0,1,0,0
4vyyswj2,Closed Won,768,-125,False,0,1,0,0,0,0,0,1,0,0,0
kyibon5q,Closed Won,300,0,False,0,1,0,0,0,0,0,0,1,0,0
sc6xa05g,Demo 1,0,39,True,0,0,1,0,0,0,0,1,0,0,0
igirhobj,Closed Lost,360,153,False,0,1,0,0,0,0,0,0,0,1,0
oyjo0u29,Closed Won,120,0,False,0,0,1,0,0,0,0,0,1,0,0
85av72ze,Closed Won,768,0,False,0,1,0,0,0,0,0,1,0,0,0
tywn59t4,Closed Lost,324,123,False,0,1,0,0,0,0,1,0,0,0,0
2ihozyor,Closed Lost,768,31,False,0,1,0,0,0,0,0,1,0,0,0
9pdj8a6l,Closed Won,576,0,False,0,1,0,0,0,0,0,0,0,0,1
p9lz6lwb,Closed Won,360,-291,False,0,1,0,0,0,0,0,0,1,0,0
rpbir3em,Closed Won,360,0,False,0,1,0,0,0,0,0,1,0,0,0
hyypr9a3,Closed Lost,240,0,False,0,0,1,0,0,0,0,0,1,0,0
t9wueppe,Closed Won,576,89,False,0,0,1,0,0,0,0,0,1,0,0
tjsygqiw,Checkbox,576,0,False,0,0,1,0,0,0,0,0,1,0,0
db3xwjps,Closed Won,120,0,False,0,0,1,0,0,0,0,1,0,0,0
d88x0lt9,Closed Lost,360,1,False,0,0,0,0,1,0,0,0,1,0,0
r8teasrc,Demo 1,0,68,True,0,1,0,0,0,0,1,0,0,0,0
06xneadd,Closed Won,240,0,False,0,1,0,0,0,0,0,0,1,0,0
evfrme75,Closed Won,240,0,False,0,1,0,0,0,0,0,0,0,1,0
bxfvo08z,Closed Won,360,0,False,0,1,0,0,0,0,0,0,0,1,0
xinpbyxr,Checkbox,324,61,False,0,0,0,0,1,0,1,0,0,0,0
dahu0wbb,Closed Won,1344,0,False,0,0,1,0,0,0,0,1,0,0,0
eq0lj3hb,Closed Won,768,0,False,0,0,0,0,1,0,1,0,0,0,0
ttp2r4wa,Negotiation,768,0,False,0,0,1,0,0,0,0,0,0,1,0
zpw9avew,Closed Lost,200,0,True,0,0,1,0,0,0,0,1,0,0,0
uozmct6s,Closed Lost,240,0,False,0,0,1,0,0,0,0,0,1,0,0
zkveegb7,Closed Won,1344,0,False,0,0,1,0,0,0,0,1,0,0,0
ivu8e8uy,Closed Lost,200,3,True,0,1,0,0,0,0,0,1,0,0,0
mhs5t40d,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
il4huuwr,Demo 1,0,50,True,0,0,0,1,0,0,1,0,0,0,0
z1cdf0hd,Closed Won,360,5,False,0,0,1,0,0,0,0,1,0,0,0
q97tjtil,Closed Won,960,2,False,0,0,1,0,0,0,0,1,0,0,0
1z50209j,Closed Won,324,0,False,0,1,0,0,0,0,0,0,0,1,0
9km15cgk,Negotiation,360,0,False,0,0,1,0,0,0,0,1,0,0,0
y622xpn3,Closed Won,360,0,False,0,0,0,0,1,0,0,0,0,1,0
xu9pfqer,Closed Won,960,0,False,0,0,1,0,0,0,1,0,0,0,0
mwblgr26,Closed Won,360,0,False,0,0,1,0,0,0,0,1,0,0,0
ya0t3tau,Negotiation,768,0,False,0,1,0,0,0,0,0,0,0,1,0
pxh1iil0,Closed Won,1344,0,False,0,1,0,0,0,0,0,0,0,1,0
fb8nk401,Demo 1,0,50,True,0,1,0,0,0,0,0,1,0,0,0
c41k9d6z,Closed Lost,300,0,False,0,0,1,0,0,0,1,0,0,0,0
qcsguhqf,Demo 1,0,70,True,0,0,1,0,0,0,0,0,1,0,0
2xqfvw9w,Closed Lost,1008,3,False,0,1,0,0,0,0,0,1,0,0,0
vp8rwd8d,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
whdq4slk,Closed Won,768,1,False,0,1,0,0,0,0,1,0,0,0,0
v7jampxe,Closed Lost,1344,7,False,0,1,0,0,0,0,1,0,0,0,0
y3dc5m36,Closed Won,360,0,False,0,0,1,0,0,0,1,0,0,0,0
04wh7ppy,Closed Won,360,30,False,0,0,1,0,0,0,0,1,0,0,0
fbizu8w8,Demo 1,0,47,False,0,1,0,0,0,0,1,0,0,0,0
1syhc5xg,Closed Won,240,0,False,0,1,0,0,0,0,0,1,0,0,0
4bw09qb9,Demo 1,960,34,False,0,0,0,0,1,0,0,1,0,0,0
8x9u5a7w,Closed Won,240,0,False,0,1,0,0,0,0,1,0,0,0,0
z1apee9u,Closed Lost,324,0,False,0,1,0,0,0,0,0,0,1,0,0
6i461kgp,Negotiation,0,0,True,0,0,0,0,0,1,1,0,0,0,0
kqlrpbs5,Closed Won,360,0,False,0,1,0,0,0,0,0,0,0,1,0
z97suc7i,Closed Won,300,0,False,0,1,0,0,0,0,0,0,1,0,0
awmm7gp7,Closed Won,1344,0,False,0,1,0,0,0,0,0,0,0,1,0
3j0bp4xh,Closed Won,1008,0,False,0,1,0,0,0,0,0,1,0,0,0
ishr0amg,Demo 1,0,62,True,0,0,0,0,0,1,1,0,0,0,0
jkhwlzxy,Closed Won,600,0,False,0,1,0,0,0,0,0,0,0,1,0
3rq9ullu,Negotiation,360,0,False,0,0,1,0,0,0,0,0,1,0,0
u5f494x7,Closed Lost,360,3,False,0,1,0,0,0,0,0,0,0,1,0
5bydfe4a,Closed Lost,1344,-290,False,0,0,0,0,1,0,0,0,1,0,0
wchk41nz,Demo 1,0,112,False,0,0,1,0,0,0,0,0,0,1,0
se1afjdi,Closed Lost,360,1,False,0,1,0,0,0,0,0,0,1,0,0
mcdn6whl,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
fewbsxdm,Demo 1,0,74,True,0,0,1,0,0,0,0,0,0,1,0
u5k0z3l8,Closed Won,324,0,False,0,1,0,0,0,0,0,0,1,0,0
jve5vgui,Closed Lost,200,150,True,0,0,1,0,0,0,0,0,0,1,0
dwl9k18m,Closed Lost,324,34,False,0,1,0,0,0,0,1,0,0,0,0
1ytchwz7,Closed Won,360,1,False,0,1,0,0,0,0,0,0,0,1,0
go31o5w1,Closed Lost,360,-1,False,0,1,0,0,0,0,0,0,1,0,0
88npxxk0,Closed Won,240,0,False,0,0,0,0,1,0,0,1,0,0,0
uwkahc98,Closed Lost,150,3,False,0,1,0,0,0,0,0,0,1,0,0
ss050xpx,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
4km92eax,Demo 1,0,36,True,0,0,1,0,0,0,0,0,0,1,0
t7n4mkpb,Closed Lost,150,2,False,0,0,0,0,1,0,0,0,1,0,0
h321ngnb,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
ixyn6x1c,Closed Won,240,4,False,0,1,0,0,0,0,0,0,1,0,0
j15bi9b0,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
32skjq68,Closed Won,768,0,False,0,0,1,0,0,0,1,0,0,0,0
08ive333,Closed Won,1344,0,False,0,1,0,0,0,0,0,1,0,0,0
jkrnvxb7,Closed Won,576,0,False,0,1,0,0,0,0,0,0,0,1,0
w97zeue4,Demo 1,600,173,False,0,0,1,0,0,0,0,0,1,0,0
qwnnwonm,Closed Won,360,0,False,0,0,1,0,0,0,0,1,0,0,0
lv0gzoyk,Closed Won,360,4,False,0,1,0,0,0,0,0,0,1,0,0
ziy9b7a2,Demo 1,0,64,True,0,0,1,0,0,0,0,0,1,0,0
3amjoifx,Closed Lost,960,4,False,0,1,0,0,0,0,0,0,1,0,0
v55kdrrg,Closed Won,456,0,False,0,0,0,0,1,0,0,1,0,0,0
42ovl5mu,Closed Won,1344,156,False,0,0,0,0,1,0,1,0,0,0,0
9yn7m5q8,Closed Won,360,1,False,0,1,0,0,0,0,0,1,0,0,0
9k9jrlmg,Closed Lost,324,1,False,0,1,0,0,0,0,0,0,0,1,0
bok6t010,Demo 1,0,48,True,0,0,0,0,1,0,0,0,0,1,0
z3vqkk2i,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
c3k7ayey,Closed Won,360,1,False,0,0,0,0,1,0,0,1,0,0,0
7h2swaca,Closed Won,240,0,False,0,1,0,0,0,0,0,1,0,0,0
67ghlxzy,Closed Won,1008,0,False,0,1,0,0,0,0,0,0,1,0,0
utehmmqn,Closed Won,360,0,False,0,1,0,0,0,0,0,0,0,1,0
l6xrczcp,Closed Lost,240,67,False,0,1,0,0,0,0,0,1,0,0,0
jh7rjbsh,Closed Lost,324,0,False,0,1,0,0,0,0,0,1,0,0,0
ng3clrtq,Closed Lost,200,7,True,0,0,1,0,0,0,0,1,0,0,0
hw23eje9,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
1wa9vmoc,Closed Won,240,0,False,0,1,0,0,0,0,0,0,0,1,0
js6og1pc,Closed Won,1344,0,False,0,1,0,0,0,0,0,0,1,0,0
tiv6pcyd,Closed Won,360,0,False,0,1,0,0,0,0,0,1,0,0,0
13a6uty3,Closed Won,360,8,False,0,0,0,0,1,0,0,0,1,0,0
2p4xx9pk,Closed Won,120,-189,False,0,1,0,0,0,0,0,0,1,0,0
lwpztq5u,Closed Lost,240,9,False,0,1,0,0,0,0,0,1,0,0,0
j14gccro,Demo 1,0,-244,True,0,0,1,0,0,0,0,1,0,0,0
7xmt9usj,Demo 1,0,-275,True,0,0,1,0,0,0,0,0,1,0,0
dgljwan3,Closed Lost,360,214,False,0,0,1,0,0,0,0,1,0,0,0
xflbapjr,Closed Won,1344,1,False,0,1,0,0,0,0,0,1,0,0,0
nfu1a5nv,Closed Won,576,0,False,0,0,0,0,1,0,0,0,1,0,0
0okteb8t,Negotiation,960,0,False,0,0,0,0,1,0,0,0,1,0,0
ul4e1w7f,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
hit8dvo5,Closed Won,300,0,False,0,1,0,0,0,0,1,0,0,0,0
kew66a5g,Closed Won,576,0,False,0,0,1,0,0,0,0,0,1,0,0
7drtd2wp,Closed Won,768,0,False,0,1,0,0,0,0,0,1,0,0,0
gy5vor6u,Closed Won,300,92,False,0,0,0,0,1,0,0,0,1,0,0
1tq0nnw2,Demo 1,0,74,True,0,0,0,0,1,0,0,0,0,1,0
tzud2lpn,Demo 1,0,74,True,0,1,0,0,0,0,1,0,0,0,0
mfsdbi3w,Closed Lost,300,7,False,0,1,0,0,0,0,0,1,0,0,0
zqu535f4,Closed Won,768,0,False,0,1,0,0,0,0,0,0,0,1,0
ijtao559,Closed Won,300,0,False,0,1,0,0,0,0,0,0,1,0,0
c9s49vh1,Negotiation,450,0,False,0,0,1,0,0,0,0,0,1,0,0
1sqrtmhd,Closed Won,576,0,False,0,1,0,0,0,0,0,0,0,1,0
co386s9b,Closed Won,600,0,False,0,0,1,0,0,0,0,1,0,0,0
yye6tqtm,Closed Lost,240,15,False,0,1,0,0,0,0,0,1,0,0,0
zvmy80ew,Closed Won,960,0,False,0,1,0,0,0,0,1,0,0,0,0
b2yf7nde,Closed Won,576,0,False,0,0,1,0,0,0,1,0,0,0,0
5zf5bs5y,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
luudmrha,Closed Won,768,1,False,0,1,0,0,0,0,0,0,1,0,0
s2q2iy4f,Closed Won,360,0,False,0,1,0,0,0,0,0,0,0,0,1
4ftfm3id,Closed Lost,960,2,True,0,1,0,0,0,0,0,0,1,0,0
3vziw3xj,Closed Won,360,0,False,0,1,0,0,0,0,0,0,0,1,0
2yovex3b,Closed Won,360,62,False,0,1,0,0,0,0,0,0,0,1,0
b8x4omy1,Closed Lost,300,91,False,0,1,0,0,0,0,0,1,0,0,0
i4ojumkd,Closed Won,120,0,False,0,1,0,0,0,0,1,0,0,0,0
lsi3emnj,Negotiation,200,0,True,0,1,0,0,0,0,1,0,0,0,0
jcbnsg2z,Closed Lost,960,8,True,0,0,1,0,0,0,0,0,1,0,0
ogtaarfw,Closed Won,960,0,False,0,1,0,0,0,0,0,0,1,0,0
2479nmo0,Closed Won,768,0,False,0,1,0,0,0,0,0,1,0,0,0
uljtdf6a,Closed Won,120,0,False,0,1,0,0,0,0,0,0,1,0,0
