Id,Use Case,Status,Created Date,Close Date,Price,Discount code,Pain,Loss Reason
y8p7i6cq,Educational Seminars,Demo 1,2019-08-06,2020-01-26,Not_Specified,Not_Specified,quality of delivery,Not_Specified
p67jkcab,Corporate Events,Closed Won,2019-12-15,2019-12-16,1344.0,YEARLY30PROMO,operations,Not_Specified
51ifjt3f,Corporate Events,Closed Won,2019-12-17,2019-12-17,360.0,MONTHSAVE25DEAL,operations,Not_Specified
9znb8r95,Corporate Events,Closed Won,2019-12-24,2019-12-24,1344.0,YEARLY30PROMO,quality of delivery,Not_Specified
c066aytf,Educational Seminars,Closed Won,2019-12-25,2019-12-25,324.0,SLASH10,operations,Not_Specified
b0xkfuj2,Corporate Events,Closed Lost,2020-02-25,2020-10-27,768.0,2SEMESTERS20OFF,operations,no response
exut3bnp,Corporate Events,Closed Won,2019-11-20,2019-11-23,576.0,2SEMESTERS20SALE,operations,Not_Specified
i7f6btlu,Corporate Events,Closed Won,2019-12-23,2019-12-23,240.0,MONTH50REBATE,operations,Not_Specified
5mm6gtlz,Corporate Events,Closed Won,2020-09-26,2020-09-26,240.0,MONTH50REBATE,quality of delivery,Not_Specified
wwlwly64,Corporate Events,Closed Won,2019-05-07,2019-12-08,360.0,MONTHSAVE25DEAL,operations,Not_Specified
96urgb5e,Educational Seminars,Closed Won,2020-09-26,2020-09-26,960.0,BIANNUAL20,operations,Not_Specified
288g5d5r,Corporate Events,Negotiation,2020-10-27,2020-10-27,0.0,Not_Specified,quality of delivery,Not_Specified
x8ef2uaj,Corporate Events,Demo 1,2020-10-27,2020-01-26,240.0,DISCOUNT50POWER,financial control,Not_Specified
mjlorftl,Educational Seminars,Closed Won,2020-04-26,2020-04-26,200.0,25GIFT,operations,Not_Specified
3ok0nd9d,Educational Seminars,Closed Won,2020-02-25,2020-09-26,324.0,SLASH10,financial control,Not_Specified
60cv8ar4,Not_Specified,Demo 1,2019-10-06,2020-01-26,Not_Specified,Not_Specified,quality of delivery,Not_Specified
xihkl4rn,Corporate Events,Negotiation,2019-12-08,2019-12-08,960.0,BIANNUAL20,operations,Not_Specified
50pqgevs,Corporate Events,Demo 1,2019-12-15,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified
8aoo5aif,Educational Seminars,Closed Lost,2019-11-23,2019-11-23,0.0,Not_Specified,operations,no product fit
7vhju4cb,Corporate Events,Negotiation,2019-01-07,2019-02-07,768.0,2SEMESTERS20OFF,operations,Not_Specified
6vxmhio9,Educational Seminars,Negotiation,2020-04-26,2020-04-26,1008.0,RENEWYEAR30,Not_Specified,Not_Specified
7rg2xgw6,Corporate Events,Closed Won,2019-11-25,2019-12-14,300.0,MONTH50CUTBACK,operations,Not_Specified
5n6xlvze,Corporate Events,Negotiation,2020-03-27,2020-03-27,360.0,SAVE25LESS,operations,Not_Specified
8yg2ktyb,Sports Events,Closed Won,2019-12-23,2019-12-23,300.0,SAVEMORE50,financial control,Not_Specified
e8m66cn7,Corporate Events,Negotiation,2020-09-26,2020-09-26,0.0,Not_Specified,financial control,Not_Specified
jvcxt0hx,Educational Seminars,Negotiation,2019-11-11,2019-11-11,300.0,SAVEMORE50,financial control,Not_Specified
otiyixnh,Educational Seminars,Closed Lost,2019-11-12,2019-11-23,0.0,Not_Specified,financial control,no response
n7xyxn9h,Corporate Events,Closed Won,2020-02-25,2020-02-25,240.0,MONTH50REBATE,operations,Not_Specified
eyjw9ydu,Educational Seminars,Closed Won,2020-03-27,2020-03-27,120.0,NOCOSTREG,Not_Specified,Not_Specified
0otwjac7,Corporate Events,Closed Won,2020-08-27,2020-08-27,14876.0,QUARTERLY75OFF,Not_Specified,Not_Specified
4d83bs7p,Corporate Events,Closed Won,2020-08-27,2020-08-27,240.0,MONTH50REBATE,financial control,Not_Specified
f1jiny0o,Corporate Events,Closed Lost,2020-09-26,2020-09-26,200.0,Not_Specified,operations,no product fit
bwrx3ael,Sports Events,Closed Won,2019-07-06,2019-07-06,240.0,SAVEMONTH50G,operations,Not_Specified
ga5x5ohc,Corporate Events,Closed Won,2019-11-16,2019-11-16,576.0,2SEMESTERS20SALE,quality of delivery,Not_Specified
194gbb0w,Educational Seminars,Closed Lost,2019-11-20,2019-11-20,200.0,Not_Specified,Not_Specified,lost to competitor
81a73dzr,Corporate Events,Closed Lost,2019-11-20,2019-11-20,576.0,2SEMESTERS20SALE,operations,not target
6isqpe81,Corporate Events,Closed Lost,2019-11-17,2019-11-19,768.0,2SEMESTERS20OFF,quality of delivery,lost to competitor
n124yb1s,Corporate Events,Closed Won,2019-11-25,2019-11-25,960.0,ANNUAL60DEAL,Not_Specified,Not_Specified
sfsixfyw,Corporate Events,Closed Won,2019-02-07,2019-02-07,300.0,MONTH50CUTBACK,quality of delivery,Not_Specified
zppu8nyk,Corporate Events,Closed Lost,2019-05-07,2019-07-07,240.0,Not_Specified,quality of delivery,no response
1recnp1e,Corporate Events,Closed Won,2019-05-07,2019-05-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified
xtpzigqr,Corporate Events,Closed Lost,2019-12-08,2019-12-11,1344.0,YEARLY30PROMO,quality of delivery,not target
iz6uq7fg,Sports Events,Demo 1,2019-12-09,2020-01-26,Not_Specified,Not_Specified,quality of delivery,Not_Specified
feni9v9i,Corporate Events,Closed Won,2019-12-25,2019-12-25,960.0,ANNUAL60DEAL,operations,Not_Specified
5nxsvhpy,Corporate Events,Closed Won,2019-11-10,2019-11-10,324.0,10OFFREDUCED,operations,Not_Specified
dv6tw5nc,Sports Events,Closed Won,2019-11-16,2019-11-17,1008.0,10OFFREDUCED,operations,Not_Specified
yc6jjubk,Educational Seminars,Closed Won,2019-11-23,2019-11-24,324.0,SLASH10,operations,Not_Specified
7tq43nwv,Corporate Events,Closed Won,2019-07-07,2019-07-07,768.0,2SEMESTERS20OFF,operations,Not_Specified
p86gp515,Corporate Events,Closed Won,2019-11-19,2019-11-19,720.0,4SEMESTERS40DEAL,operations,Not_Specified
nm5k3jtx,Corporate Events,Closed Lost,2019-12-08,2019-12-09,0.0,Not_Specified,operations,lost to competitor
ri0x1wzk,Corporate Events,Closed Won,2019-12-14,2019-12-14,768.0,2SEMESTERS20OFF,operations,Not_Specified
6exqr5v3,Educational Seminars,Closed Lost,2019-12-15,2019-12-25,8014.0,YEARLONG75BONUS,operations,no response
7h1091nf,Educational Seminars,Closed Won,2019-12-17,2020-02-25,450.0,SAVEQUARTER25,operations,Not_Specified
l8td1uxt,Corporate Events,Closed Won,2019-12-21,2019-12-21,324.0,10OFFREDUCED,operations,Not_Specified
fffpl037,Educational Seminars,Closed Lost,2019-12-22,2019-12-25,1344.0,ANNUAL30BONUS,Not_Specified,lost to competitor
sh6w5l7r,Corporate Events,Negotiation,2019-12-23,2019-12-23,300.0,MONTH50CUTBACK,operations,Not_Specified
rk8kyngl,Corporate Events,Closed Won,2020-03-27,2020-03-27,768.0,2SEMESTERS20OFF,quality of delivery,Not_Specified
llcxz6dm,Educational Seminars,Negotiation,2020-08-27,2020-08-27,1344.0,ANNUAL30BONUS,quality of delivery,Not_Specified
juy03jbv,Sports Events,Closed Won,2019-08-06,2019-08-06,768.0,HALFYEAR20G,quality of delivery,Not_Specified
hhylxso6,Corporate Events,Closed Lost,2019-08-06,2019-11-06,300.0,Not_Specified,financial control,lost to competitor
1bftu3hh,Corporate Events,Closed Lost,2019-09-06,2019-11-25,576.0,2SEMESTERS20SALE,operations,not target
ds0zhhfh,Educational Seminars,Closed Won,2019-11-06,2019-11-09,360.0,DISCOUNT25QUICK,Not_Specified,Not_Specified
a76jsb7c,Educational Seminars,Checkbox,2019-11-12,2019-11-16,1344.0,ANNUAL30BONUS,quality of delivery,Not_Specified
639ka38k,Corporate Events,Closed Won,2019-08-06,2019-08-06,768.0,2SEMESTERS20OFF,operations,Not_Specified
7gp0128i,Sports Events,Closed Won,2019-05-07,2019-05-07,458.0,FULLYEAR75G,quality of delivery,Not_Specified
aqyfe1s0,Corporate Events,Closed Won,2019-11-18,2019-11-18,576.0,2SEMESTERS20SALE,financial control,Not_Specified
dmlsarg4,Corporate Events,Closed Won,2019-10-07,2019-12-07,1344.0,YEARLY30PROMO,quality of delivery,Not_Specified
3mo2wica,Corporate Events,Closed Won,2019-09-07,2019-09-07,360.0,MONTHSAVE25DEAL,financial control,Not_Specified
72dzy0wj,Corporate Events,Closed Won,2019-12-08,2019-12-08,240.0,MONTH50REBATE,quality of delivery,Not_Specified
w01t78a3,Corporate Events,Closed Won,2019-12-09,2019-12-11,360.0,MONTHSAVE25DEAL,financial control,Not_Specified
czuu77sp,Corporate Events,Closed Won,2019-12-15,2019-12-15,300.0,MONTH50CUTBACK,financial control,Not_Specified
py7mzhxw,Corporate Events,Closed Won,2020-01-27,2020-01-27,240.0,MONTH50REBATE,Not_Specified,Not_Specified
7g6gskfn,Sports Events,Closed Won,2020-09-26,2020-09-26,8014.0,YEARLONG75BONUS,operations,Not_Specified
7hlaz922,Corporate Events,Closed Won,2019-12-11,2019-12-14,360.0,MONTHSAVE25DEAL,operations,Not_Specified
pjh07ju4,Corporate Events,Closed Won,2019-11-17,2019-11-17,576.0,2SEMESTERS20SALE,operations,Not_Specified
yhndnb3b,Corporate Events,Demo 1,2019-12-24,2020-01-26,300.0,MONTH50CUTBACK,financial control,Not_Specified
9fxlh4e3,Educational Seminars,Closed Won,2019-11-11,2019-11-11,450.0,SAVEQUARTER25,financial control,Not_Specified
639e4b2v,Corporate Events,Closed Won,2020-03-27,2020-03-27,120.0,GIVEAWAYFREE,operations,Not_Specified
olpln55c,Corporate Events,Closed Lost,2019-11-09,2019-11-23,300.0,MONTH50CUTBACK,financial control,no budget
sqlgtv8i,Corporate Events,Closed Lost,2019-11-25,2019-11-25,200.0,Not_Specified,quality of delivery,no response
9opuw6zt,Corporate Events,Negotiation,2019-12-08,2019-12-08,240.0,MONTH50REBATE,quality of delivery,Not_Specified
kriy6sw7,Corporate Events,Demo 1,2019-05-07,2020-01-26,240.0,MONTH50REBATE,financial control,Not_Specified
4ffk9frh,Sports Events,Checkbox,2019-12-14,2019-12-15,360.0,25GIFT,operations,Not_Specified
aix92b45,Educational Seminars,Closed Won,2019-11-11,2019-11-17,1344.0,ANNUAL30BONUS,quality of delivery,Not_Specified
rv6e5ldw,Corporate Events,Closed Won,2019-12-24,2019-12-24,200.0,MONTHSAVE25DEAL,operations,Not_Specified
kb8r8dr0,Sports Events,Closed Won,2019-07-06,2019-07-06,576.0,HALFSEASON20G,operations,Not_Specified
dke1bnez,Corporate Events,Closed Won,2019-11-06,2019-12-06,1344.0,YEARLY30PROMO,quality of delivery,Not_Specified
pqq9wpec,Corporate Events,Closed Won,2019-11-17,2019-11-17,240.0,MONTH50REBATE,operations,Not_Specified
2tx1zdfg,Corporate Events,Closed Lost,2020-10-27,2020-10-27,200.0,Not_Specified,financial control,lost to competitor
ckn43jx5,Corporate Events,Closed Lost,2019-08-06,2019-11-23,0.0,Not_Specified,operations,not target
h83mbduk,Corporate Events,Closed Won,2019-10-06,2019-10-06,300.0,MONTH50CUTBACK,financial control,Not_Specified
4ep26xqh,Corporate Events,Closed Won,2019-07-07,2019-07-07,45744.0,DISCOUNT75SPECIAL,operations,Not_Specified
9ccg79id,Corporate Events,Closed Won,2019-12-24,2019-12-24,240.0,MONTH50REBATE,financial control,Not_Specified
6p2rj2xe,Educational Seminars,Negotiation,2020-02-25,2020-02-25,768.0,HALFYEAR20G,operations,Not_Specified
679b8m18,Corporate Events,Demo 1,2019-05-07,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified
e05ebbls,Corporate Events,Closed Won,2019-07-06,2019-07-06,300.0,SAVEMONTH50SPECIAL,Not_Specified,Not_Specified
xz6xrs8r,Corporate Events,Demo 1,2019-11-24,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified
5yf37r48,Educational Seminars,Closed Lost,2019-11-24,2019-11-25,1344.0,ANNUAL30BONUS,financial control,lost to competitor
2ktfmndt,Corporate Events,Closed Won,2019-11-24,2019-11-25,360.0,SAVE25LESS,operations,Not_Specified
0ntnaqye,Corporate Events,Closed Won,2020-02-25,2020-03-27,150.0,ECONOMY75DISCOUNT,Not_Specified,Not_Specified
rg092esy,Corporate Events,Demo 1,2019-02-07,2020-01-26,768.0,2SEMESTERS20OFF,quality of delivery,Not_Specified
bloey9kk,Sports Events,Closed Won,2019-09-07,2020-02-25,150.0,MONTH75SPECIAL,operations,Not_Specified
1dmzvsmr,Corporate Events,Closed Won,2019-12-09,2019-12-09,360.0,MONTHSAVE25DEAL,Not_Specified,Not_Specified
qqxsucdr,Educational Seminars,Negotiation,2020-03-27,2020-03-27,0.0,Not_Specified,financial control,Not_Specified
mtfenudq,Corporate Events,Closed Won,2019-12-15,2019-12-15,240.0,MONTH50REBATE,Not_Specified,Not_Specified
40qkfj6l,Corporate Events,Closed Lost,2019-11-19,2019-12-11,1344.0,YEARLY30PROMO,quality of delivery,not target
px9udct8,Corporate Events,Closed Won,2019-12-21,2019-12-21,768.0,2SEMESTERS20OFF,financial control,Not_Specified
oflxcfos,Sports Events,Closed Won,2020-02-25,2020-03-27,960.0,YEARLY60,operations,Not_Specified
ndf502s3,Corporate Events,Closed Won,2019-11-06,2019-11-06,200.0,ECONOMY75DISCOUNT,Not_Specified,Not_Specified
qtlef5ah,Corporate Events,Closed Won,2020-04-26,2020-04-26,960.0,ANNUAL60DEAL,financial control,Not_Specified
ni9ersho,Sports Events,Closed Lost,2019-09-06,2019-10-06,360.0,25GIFT,operations,no product fit
3bty4oky,Educational Seminars,Closed Won,2019-11-12,2019-11-12,768.0,HALFYEAR20G,Not_Specified,Not_Specified
826utbcm,Corporate Events,Closed Won,2019-11-12,2019-11-13,576.0,2SEMESTERS20SALE,operations,Not_Specified
gxjboed5,Corporate Events,Negotiation,2019-07-07,2019-07-07,600.0,PROMOTIONCODE,quality of delivery,Not_Specified
shisqr67,Educational Seminars,Closed Won,2019-08-06,2019-08-06,1344.0,ANNUAL30BONUS,operations,Not_Specified
zxfja10b,Corporate Events,Closed Won,2019-12-24,2019-12-24,240.0,MONTH50REBATE,operations,Not_Specified
zwp95waj,Corporate Events,Closed Won,2020-08-27,2020-08-27,360.0,MONTHSAVE25DEAL,operations,Not_Specified
2iw6563f,Corporate Events,Demo 1,2019-12-15,2020-01-26,324.0,10OFFREDUCED,operations,Not_Specified
cnawt51h,Corporate Events,Closed Won,2019-12-16,2019-12-16,300.0,MONTH50CUTBACK,quality of delivery,Not_Specified
zyxx6295,Educational Seminars,Closed Won,2019-08-06,2019-11-25,150.0,MONTH75SPECIAL,financial control,Not_Specified
b1kh5ct3,Corporate Events,Closed Won,2019-12-23,2019-12-23,1680.0,YEARLY30DISCOUNT,Not_Specified,Not_Specified
ezn6xdj3,Corporate Events,Closed Won,2019-12-24,2019-12-24,324.0,10OFFREDUCED,quality of delivery,Not_Specified
6i73rdhu,Corporate Events,Closed Lost,2020-04-26,2020-08-27,150.0,QUARTERLY75OFF,Not_Specified,not target
g6wq6vnf,Educational Seminars,Closed Won,2020-10-27,2020-10-27,1344.0,ANNUAL30BONUS,operations,Not_Specified
eb5fi1st,Corporate Events,Closed Lost,2019-11-06,2019-11-09,360.0,SAVE25LESS,Not_Specified,not target
mkcbpiza,Corporate Events,Demo 1,2019-11-09,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified
cdyyygy2,Educational Seminars,Closed Lost,2019-11-09,2019-11-09,0.0,Not_Specified,financial control,no product fit
q7sgpahz,Corporate Events,Closed Lost,2019-08-06,2019-08-06,200.0,Not_Specified,operations,no product fit
hyizcxnw,Corporate Events,Demo 1,2019-11-11,2020-01-26,Not_Specified,Not_Specified,Not_Specified,Not_Specified
bsw0vzh6,Educational Seminars,Closed Won,2019-11-23,2019-11-23,120.0,NOCOSTREG,financial control,Not_Specified
8i2d003s,Corporate Events,Closed Won,2019-11-18,2019-11-18,1008.0,RENEW30YEARLY,financial control,Not_Specified
79gteql2,Sports Events,Closed Won,2019-09-07,2019-09-07,300.0,ECONOMY50SPECIAL,operations,Not_Specified
fqfr3vgj,Corporate Events,Closed Won,2019-12-09,2019-12-09,360.0,MONTHSAVE25DEAL,operations,Not_Specified
c2riz5ly,Corporate Events,Closed Won,2019-12-22,2019-12-22,360.0,MONTHSAVE25DEAL,operations,Not_Specified
18kobh4l,Sports Events,Checkbox,2020-09-26,2020-01-26,420.0,Not_Specified,Not_Specified,Not_Specified
yqw6ty7x,Corporate Events,Checkbox,2019-08-06,2019-08-06,1344.0,YEARLY30PROMO,financial control,Not_Specified
ybc74kqx,Sports Events,Closed Lost,2019-10-06,2019-11-12,0.0,Not_Specified,operations,no product fit
8jd5v6m6,Corporate Events,Closed Won,2019-11-09,2019-11-09,240.0,MONTH50REBATE,operations,Not_Specified
4vyyswj2,Corporate Events,Closed Won,2019-11-09,2019-07-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified
kyibon5q,Corporate Events,Closed Won,2019-11-16,2019-11-16,300.0,MONTH50CUTBACK,operations,Not_Specified
sc6xa05g,Educational Seminars,Demo 1,2019-12-18,2020-01-26,Not_Specified,Not_Specified,financial control,Not_Specified
igirhobj,Corporate Events,Closed Lost,2020-03-27,2020-08-27,360.0,MONTHSAVE25DEAL,quality of delivery,lost to competitor
oyjo0u29,Educational Seminars,Closed Won,2019-11-18,2019-11-18,120.0,MONTH75SAVINGS,operations,Not_Specified
85av72ze,Corporate Events,Closed Won,2019-05-07,2019-05-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified
tywn59t4,Corporate Events,Closed Lost,2019-05-07,2019-09-07,324.0,10OFFREDUCED,Not_Specified,lost to competitor
2ihozyor,Corporate Events,Closed Lost,2020-02-25,2020-03-27,768.0,2SEMESTERS20OFF,financial control,price
9pdj8a6l,Corporate Events,Closed Won,2020-08-27,2020-08-27,576.0,2SEMESTERS20SALE,time saving,Not_Specified
p9lz6lwb,Corporate Events,Closed Won,2019-11-25,2019-02-07,360.0,MONTHSAVE25DEAL,operations,Not_Specified
rpbir3em,Corporate Events,Closed Won,2019-01-07,2019-01-07,360.0,MONTHSAVE25DEAL,financial control,Not_Specified
hyypr9a3,Educational Seminars,Closed Lost,2019-01-07,2019-01-07,240.0,ECONOMY50GIFT,operations,no product fit
t9wueppe,Educational Seminars,Closed Won,2019-02-07,2019-05-07,576.0,HALFSEASON20G,operations,Not_Specified
tjsygqiw,Educational Seminars,Checkbox,2019-11-17,2019-11-17,576.0,HALFSEASON20G,operations,Not_Specified
db3xwjps,Educational Seminars,Closed Won,2019-11-17,2019-11-17,120.0,NOCOSTREG,financial control,Not_Specified
d88x0lt9,Sports Events,Closed Lost,2019-11-16,2019-11-17,360.0,MONTHSAVE25DEAL,operations,lost to competitor
r8teasrc,Corporate Events,Demo 1,2019-11-19,2020-01-26,Not_Specified,Not_Specified,Not_Specified,Not_Specified
06xneadd,Corporate Events,Closed Won,2019-11-20,2019-11-20,240.0,MONTH50REBATE,operations,Not_Specified
evfrme75,Corporate Events,Closed Won,2019-12-08,2019-12-08,240.0,MONTH50REBATE,quality of delivery,Not_Specified
bxfvo08z,Corporate Events,Closed Won,2019-12-10,2019-12-10,360.0,MONTHSAVE25DEAL,quality of delivery,Not_Specified
xinpbyxr,Sports Events,Checkbox,2020-08-27,2020-10-27,324.0,SLASH10,Not_Specified,Not_Specified
dahu0wbb,Educational Seminars,Closed Won,2020-09-26,2020-09-26,1344.0,ANNUAL30BONUS,financial control,Not_Specified
eq0lj3hb,Sports Events,Closed Won,2019-07-06,2019-07-06,768.0,HALFYEAR20G,Not_Specified,Not_Specified
ttp2r4wa,Educational Seminars,Negotiation,2019-07-06,2019-07-06,768.0,HALFYEAR20G,quality of delivery,Not_Specified
zpw9avew,Educational Seminars,Closed Lost,2019-09-06,2019-09-06,200.0,Not_Specified,financial control,no product fit
uozmct6s,Educational Seminars,Closed Lost,2019-10-06,2019-10-06,240.0,SAVEMONTH50G,operations,no product fit
zkveegb7,Educational Seminars,Closed Won,2019-11-17,2019-11-17,1344.0,ANNUAL30BONUS,financial control,Not_Specified
ivu8e8uy,Corporate Events,Closed Lost,2019-11-20,2019-11-23,200.0,Not_Specified,financial control,lost to competitor
mhs5t40d,Corporate Events,Closed Won,2019-11-13,2019-11-13,360.0,MONTHSAVE25DEAL,operations,Not_Specified
il4huuwr,Not_Specified,Demo 1,2019-12-07,2020-01-26,Not_Specified,Not_Specified,Not_Specified,Not_Specified
z1cdf0hd,Educational Seminars,Closed Won,2019-12-17,2019-12-22,360.0,25GIFT,financial control,Not_Specified
q97tjtil,Educational Seminars,Closed Won,2019-12-22,2019-12-24,960.0,YEARLY60,financial control,Not_Specified
1z50209j,Corporate Events,Closed Won,2019-11-11,2019-11-11,324.0,10OFFREDUCED,quality of delivery,Not_Specified
9km15cgk,Educational Seminars,Negotiation,2019-12-09,2019-12-09,360.0,MONTHSAVE25DEAL,financial control,Not_Specified
y622xpn3,Sports Events,Closed Won,2019-10-06,2019-10-06,360.0,25GIFT,quality of delivery,Not_Specified
xu9pfqer,Educational Seminars,Closed Won,2019-11-25,2019-11-25,960.0,YEARLY60,Not_Specified,Not_Specified
mwblgr26,Educational Seminars,Closed Won,2019-12-07,2019-12-07,360.0,DISCOUNT25QUICK,financial control,Not_Specified
ya0t3tau,Corporate Events,Negotiation,2019-12-16,2019-12-16,768.0,2SEMESTERS20OFF,quality of delivery,Not_Specified
pxh1iil0,Corporate Events,Closed Won,2019-12-21,2019-12-21,1344.0,YEARLY30PROMO,quality of delivery,Not_Specified
fb8nk401,Corporate Events,Demo 1,2019-12-07,2020-01-26,Not_Specified,Not_Specified,financial control,Not_Specified
c41k9d6z,Educational Seminars,Closed Lost,2019-07-06,2019-07-06,300.0,ECONOMY50SPECIAL,Not_Specified,price
qcsguhqf,Educational Seminars,Demo 1,2019-11-17,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified
2xqfvw9w,Corporate Events,Closed Lost,2019-11-20,2019-11-23,1008.0,RENEW30YEARLY,financial control,not target
vp8rwd8d,Corporate Events,Closed Won,2019-12-08,2019-12-08,768.0,2SEMESTERS20OFF,operations,Not_Specified
