,Id,Status_x,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals_x,Use Case_Corporate Events_x,Use Case_Educational Seminars_x,Use Case_Not_Specified_x,Use Case_Sports Events_x,Use Case_Wedding Planning_x,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status_y,Price,Days,Discount,Use Case_Concerts and festivals_y,Use Case_Corporate Events_y,Use Case_Educational Seminars_y,Use Case_Not_Specified_y,Use Case_Sports Events_y,Use Case_Wedding Planning_y,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
34,maihngvg,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,6,28,Closed Lost,200,104,True,False,True,False,False,False,False,False,False,True,False,False
35,nvju1get,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,False,False,True,2,1,Closed Won,1680,0,True,False,True,False,False,False,False,False,False,True,False,False
36,95pgsk6u,Qualified,0,0,0,0,0,1,True,1,0,0,1,0,False,True,False,False,False,False,True,False,False,2,1,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
37,wwce9snq,Qualified,0,0,0,0,0,1,True,1,0,1,0,0,False,True,False,False,False,False,True,False,False,2,1,Closed Won,240,0,True,False,True,False,False,False,False,False,False,True,False,False
38,uzq7wuhi,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,False,True,False,False,False,True,False,False,10,21,Closed Won,240,0,True,False,False,True,False,False,False,False,False,True,False,False
39,3dn1rz9q,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,2,1,Closed Lost,150,31,False,False,True,False,False,False,False,False,False,True,False,False
40,czmym7n8,Qualified,0,0,0,0,0,1,True,0,1,0,0,1,False,True,False,False,False,False,True,False,False,2,1,Closed Won,1680,115,True,False,True,False,False,False,False,False,False,True,False,False
42,jeuupnk6,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,True,False,False,False,False,True,False,False,10,21,Closed Won,1344,0,True,False,True,False,False,False,False,False,False,False,True,False
43,s7dbj715,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,True,False,False,True,False,False,6,28,Closed Lost,300,31,True,False,False,False,False,True,False,False,False,True,False,False
44,e9jiwh3g,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,10,21,Closed Won,768,1,True,False,False,False,False,True,False,True,False,False,False,False
45,8fc70eb9,Qualified,0,0,0,0,0,1,True,0,0,1,1,0,False,True,False,False,False,False,True,False,False,6,28,Closed Lost,768,45,True,False,True,False,False,False,False,False,False,True,False,False
46,c083najr,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,6,28,Closed Lost,200,0,True,False,True,False,False,False,False,False,False,True,False,False
47,x7ytl84o,Qualified,0,0,0,0,0,1,True,1,0,1,0,0,False,False,False,False,True,False,True,False,False,6,28,Closed Won,768,0,True,False,False,False,False,True,False,True,False,False,False,False
49,54e3q9d1,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,21,Closed Won,768,0,True,False,True,False,False,False,False,False,False,True,False,False
50,86bhaiyb,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,21,Closed Won,768,1,True,False,True,False,False,False,False,False,False,True,False,False
51,bggh1dpr,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,True,False,False,False,False,True,False,False,2,1,Closed Lost,18150,9,True,False,True,False,False,False,False,False,False,True,False,False
52,08j2vqgw,Qualified,0,0,0,0,0,1,True,1,0,0,1,1,False,True,False,False,False,False,True,False,False,6,28,Closed Won,240,0,True,False,False,False,False,True,False,False,False,True,False,False
53,2ag480cn,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,3,1,Closed Won,600,0,False,False,True,False,False,False,False,False,False,True,False,False
54,0jqeeaft,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,True,False,False,False,False,True,False,False,3,1,Closed Won,768,0,True,False,True,False,False,False,False,False,False,True,False,False
55,x2n2xqmf,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,10,22,Closed Won,240,0,True,False,True,False,False,False,False,False,False,True,False,False
56,8krmaolp,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,10,22,Closed Lost,360,26,True,False,False,False,False,True,False,False,False,True,False,False
57,ve450tt8,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,3,1,Closed Won,600,0,True,False,True,False,False,False,False,False,False,True,False,False
58,n4i88r8f,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,22,Closed Lost,200,0,False,False,True,False,False,False,False,False,False,True,False,False
59,gbedaamz,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,3,1,Closed Lost,576,31,True,False,True,False,False,False,False,True,False,False,False,False
60,zajosj9w,Qualified,0,0,0,0,0,1,True,1,0,1,0,1,False,True,False,False,False,False,True,False,False,10,22,Closed Lost,240,-230,True,False,True,False,False,False,False,False,False,True,False,False
61,gtytuxap,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,6,28,Closed Won,240,31,True,False,True,False,False,False,False,False,False,True,False,False
62,gnhul3n3,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,22,Closed Won,960,0,True,False,True,False,False,False,False,False,False,True,False,False
63,rjelqdxo,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,10,22,Closed Won,960,1,True,False,True,False,False,False,False,False,False,True,False,False
64,wy9ssh78,Qualified,0,0,0,0,0,1,True,1,0,1,0,0,False,True,False,False,False,False,True,False,False,3,1,Closed Lost,200,0,False,False,True,False,False,False,False,False,False,False,True,False
65,ru5n8erw,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,6,28,Closed Lost,2,0,False,False,True,False,False,False,False,False,False,True,False,False
66,kj42iikl,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,True,False,False,False,False,True,False,False,10,22,Closed Lost,768,97,True,False,True,False,False,False,False,False,False,True,False,False
67,2whs7l2n,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,3,1,Closed Lost,768,41,False,False,True,False,False,False,False,False,False,False,True,False
68,mqtu98e3,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,6,28,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
69,l3qr5pv7,Qualified,0,0,0,0,0,1,True,1,0,0,1,1,False,False,False,False,True,False,True,False,False,10,22,Closed Won,120,0,True,False,False,False,False,True,False,False,False,True,False,False
70,bj39plsm,Qualified,0,0,0,0,0,1,True,0,1,0,0,1,False,True,False,False,False,False,True,False,False,10,22,Closed Lost,200,44,False,False,True,False,False,False,False,False,False,True,False,False
71,zh8novw2,Qualified,0,0,0,0,0,1,True,1,0,1,0,1,False,True,False,False,False,False,True,False,False,10,22,Closed Won,300,0,True,False,True,False,False,False,False,False,False,True,False,False
72,xaf8lusr,Qualified,0,0,0,0,0,1,True,0,0,1,1,0,False,False,False,False,True,False,True,False,False,7,29,Closed Lost,960,7,False,False,False,False,False,True,False,False,False,False,True,False
73,ucs7tgul,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,False,True,False,False,True,False,False,10,22,Closed Lost,200,258,False,False,False,False,True,False,False,False,False,True,False,False
74,wblsgxbj,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,10,22,Closed Lost,200,0,False,False,True,False,False,False,False,False,True,False,False,False
75,v22mh2tv,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,3,1,Closed Won,768,0,True,False,True,False,False,False,False,False,False,True,False,False
76,ezh8d3md,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,3,1,Closed Won,300,0,True,False,True,False,False,False,False,False,False,True,False,False
77,xp0w6klj,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,7,29,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
78,3i2pcxzw,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,7,29,Closed Won,768,-147,True,False,True,False,False,False,False,False,False,True,False,False
79,75pce0ra,Qualified,0,0,0,0,0,1,True,0,1,1,1,1,False,True,False,False,False,False,True,False,False,10,22,Closed Lost,200,57,False,False,True,False,False,False,False,False,True,False,False,False
80,t02kudrh,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,7,29,Closed Won,768,92,True,False,True,False,False,False,False,False,False,True,False,False
81,s71w2qby,Qualified,0,0,0,0,0,1,True,1,0,0,0,0,False,True,False,False,False,False,True,False,False,3,1,Closed Won,14876,-18,True,False,True,False,False,False,False,False,False,True,False,False
82,aes8nyza,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,3,1,Closed Lost,450,61,False,False,True,False,False,False,False,False,False,True,False,False
83,3ogz1piw,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,10,23,Closed Won,300,28,True,False,True,False,False,False,False,False,False,True,False,False
84,f4pv2ty4,Qualified,0,0,0,0,0,1,True,0,1,1,1,1,False,True,False,False,False,False,True,False,False,4,1,Closed Lost,200,92,False,False,True,False,False,False,False,False,False,True,False,False
85,q8u4gb0f,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,True,False,False,False,False,True,False,False,7,29,Closed Lost,360,-142,False,False,True,False,False,False,False,False,False,True,False,False
86,yull3z35,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,7,29,Closed Lost,1344,-156,False,False,False,False,False,True,False,False,False,True,False,False
87,kctgey4m,Qualified,0,0,0,0,0,1,True,1,0,0,0,0,False,True,False,False,False,False,True,False,False,4,1,Closed Lost,1344,203,False,False,True,False,False,False,False,False,False,True,False,False
88,ftcoenkz,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,False,False,True,False,True,False,False,4,1,Closed Lost,200,0,False,False,False,False,False,True,False,False,False,True,False,False
89,sn44juit,Qualified,0,0,0,0,0,1,True,1,0,0,0,1,False,False,False,False,True,False,True,False,False,7,29,Closed Won,360,0,True,False,False,False,False,True,False,False,False,True,False,False
90,krtk7ze1,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,23,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
91,homcuhil,Qualified,0,0,0,0,0,1,True,0,1,1,1,1,False,True,False,False,False,False,True,False,False,4,1,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
93,x7q23wb9,Qualified,0,0,0,0,0,1,True,1,0,0,1,0,False,True,False,False,False,False,True,False,False,4,1,Closed Lost,360,85,False,False,True,False,False,False,False,False,False,True,False,False
94,xhq3xbhz,Qualified,0,0,0,0,0,1,True,1,0,1,0,1,False,True,False,False,False,False,True,False,False,10,23,Closed Won,360,155,True,False,True,False,False,False,False,False,False,True,False,False
95,ruyd8187,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,True,False,False,False,False,True,False,False,10,23,Closed Lost,240,-232,True,False,True,False,False,False,False,False,False,False,True,False
96,tzygjbzu,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,23,Closed Lost,200,89,False,False,True,False,False,False,False,False,False,True,False,False
97,ygopox36,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,4,1,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
98,sh13tgax,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,10,23,Closed Won,240,0,True,False,True,False,False,False,False,False,False,False,True,False
99,lkyfgmja,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,4,1,Closed Lost,1344,-120,False,False,False,False,False,True,False,False,False,True,False,False
100,h41g1kdd,Qualified,0,0,0,0,0,1,True,0,0,1,1,0,False,True,False,False,False,False,True,False,False,10,24,Closed Lost,360,-79,False,False,True,False,False,False,False,False,True,False,False,False
101,r977jbxr,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,5,1,Closed Lost,600,-37,False,False,True,False,False,False,False,False,False,False,False,True
102,ce27vq87,Qualified,0,0,0,0,0,1,True,0,1,0,1,1,False,True,False,False,False,False,True,False,False,10,24,Closed Won,360,-201,True,False,False,False,False,True,False,False,False,True,False,False
103,hpttw6qf,Qualified,0,0,0,0,0,1,True,1,0,0,1,0,False,True,False,False,False,False,True,False,False,5,1,Closed Won,9616,0,True,False,True,False,False,False,False,False,False,True,False,False
104,knqp2yf1,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,10,24,Closed Won,240,0,True,False,True,False,False,False,False,False,False,True,False,False
106,d2dhgml4,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,True,False,False,False,False,True,False,False,8,29,Closed Lost,360,-217,True,False,True,False,False,False,False,False,False,True,False,False
107,9ydfi2d8,Qualified,0,0,0,0,0,1,True,0,0,0,1,0,False,True,False,False,False,False,True,False,False,10,24,Closed Won,768,28,True,False,True,False,False,False,False,False,False,True,False,False
108,7f9rst6w,Qualified,0,0,0,0,0,1,True,1,0,0,1,1,False,False,True,False,False,False,True,False,False,10,24,Closed Won,768,28,True,False,False,True,False,False,False,False,False,True,False,False
109,b12w95db,Qualified,0,0,0,0,0,1,True,0,1,1,0,1,False,True,False,False,False,False,True,False,False,8,29,Closed Lost,768,0,False,False,True,False,False,False,False,False,True,False,False,False
110,tq5b9bzv,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,False,True,False,False,False,True,False,False,6,1,Closed Won,768,0,True,False,False,True,False,False,False,False,False,True,False,False
111,ynqclpsw,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,8,29,Closed Lost,150,3,False,False,True,False,False,False,False,False,False,True,False,False
112,eoaoee9k,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,6,1,Closed Lost,240,-221,True,False,True,False,False,False,False,False,False,True,False,False
113,4sas8rnx,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,True,False,False,False,False,True,False,False,8,29,Closed Lost,1344,31,False,False,True,False,False,False,False,False,True,False,False,False
114,ircnlpqh,Qualified,0,0,0,0,0,1,True,0,1,1,0,0,False,True,False,False,False,False,True,False,False,8,29,Closed Won,1344,0,True,False,True,False,False,False,False,True,False,False,False,False
115,ah7o4ls4,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,True,False,False,False,False,True,False,False,6,1,Closed Lost,240,-83,False,False,True,False,False,False,False,False,False,True,False,False
116,g859nwe5,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,8,29,Closed Lost,600,-234,False,False,True,False,False,False,False,False,False,True,False,False
117,ot4bsn7s,Qualified,0,0,0,0,0,1,True,0,1,1,0,1,False,True,False,False,False,False,True,False,False,8,29,Closed Won,1344,0,True,False,True,False,False,False,False,False,False,True,False,False
118,wcsrbiyc,Qualified,0,0,0,0,0,1,True,1,0,0,0,1,False,True,False,False,False,False,True,False,False,7,1,Closed Won,240,31,True,False,True,False,False,False,False,False,False,True,False,False
119,55d5itu7,Qualified,0,0,0,0,0,1,True,1,0,0,0,0,False,True,False,False,False,False,True,False,False,8,29,Closed Lost,360,-186,False,False,True,False,False,False,False,False,False,True,False,False
120,v1y3ny57,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,False,False,True,7,1,Closed Lost,200,-43,False,False,True,False,False,False,False,False,False,True,False,False
121,yab67np0,Qualified,0,0,0,0,0,1,True,0,0,1,1,0,False,True,False,False,False,False,True,False,False,7,1,Closed Won,240,31,True,False,True,False,False,False,False,False,False,True,False,False
122,jersmur9,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,True,False,False,False,True,False,False,1,6,Closed Won,768,0,True,False,False,True,False,False,False,False,False,True,False,False
123,7ku8unc5,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,False,False,True,False,True,False,False,9,28,Closed Won,768,0,True,False,False,False,False,True,False,False,False,True,False,False
124,cz0s25py,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,True,False,False,False,False,True,False,False,7,1,Closed Won,360,0,True,False,True,False,False,False,False,True,False,False,False,False
125,apg8yjfj,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,7,1,Closed Won,576,31,True,False,True,False,False,False,False,False,False,False,True,False
126,r0qrgd5g,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,9,28,Closed Lost,768,0,False,False,True,False,False,False,False,False,False,True,False,False
127,40vqfi0d,Qualified,0,0,0,0,0,1,True,0,0,0,1,0,False,True,False,False,False,False,True,False,False,1,6,Closed Won,768,0,True,False,True,False,False,False,False,False,False,True,False,False
128,k3cu5zze,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,7,1,Closed Won,240,0,True,False,True,False,False,False,False,False,False,True,False,False
129,pd8vfofk,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,True,False,False,False,False,True,False,False,1,6,Closed Lost,360,89,True,False,True,False,False,False,False,False,False,False,True,False
130,0w46gnkp,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,False,False,True,7,1,Closed Won,360,31,True,False,True,False,False,False,False,False,False,True,False,False
131,wm39chaw,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,False,False,False,True,False,True,False,False,7,1,Closed Lost,768,185,False,False,False,False,False,True,False,False,True,False,False,False
132,qztgfo8w,Qualified,0,0,0,0,0,1,True,0,0,0,1,0,False,True,False,False,False,False,True,False,False,1,6,Closed Won,1008,0,True,False,True,False,False,False,False,False,False,False,True,False
133,8o1gdski,Qualified,0,0,0,0,0,1,True,0,0,1,1,0,False,True,False,False,False,False,True,False,False,9,28,Closed Lost,960,31,False,False,True,False,False,False,False,False,False,True,False,False
134,s6nefwq2,Qualified,0,0,0,0,0,1,True,1,0,1,0,1,False,False,False,False,True,False,True,False,False,7,1,Closed Lost,200,1,False,False,False,False,False,True,False,False,True,False,False,False
135,y48alnr7,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,False,False,True,False,True,False,False,9,28,Closed Won,768,0,True,False,False,False,False,True,False,True,False,False,False,False
136,yxhr0blv,Qualified,0,0,0,0,0,1,True,0,1,1,1,1,False,True,False,False,False,False,True,False,False,2,6,Closed Lost,768,597,True,False,True,False,False,False,False,False,True,False,False,False
137,i76yiicy,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,2,6,Closed Won,240,1,True,False,True,False,False,False,False,False,False,True,False,False
138,c22jgae0,Qualified,0,0,0,0,0,1,True,0,0,1,1,0,False,True,False,False,False,False,True,False,False,2,6,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
139,17l95usd,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,False,False,False,True,False,True,False,False,7,1,Closed Won,768,2,True,False,False,False,False,True,False,False,False,False,True,False
140,2ilg8fz1,Qualified,0,0,0,0,0,1,True,0,1,1,0,1,False,True,False,False,False,False,True,False,False,2,6,Closed Lost,360,61,True,False,False,False,False,True,False,False,True,False,False,False
141,fmvmjsww,Qualified,0,0,0,0,0,1,True,0,0,0,1,0,False,True,False,False,False,False,True,False,False,7,1,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
142,ddljiugk,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,2,6,Closed Won,768,245,True,False,False,False,False,True,False,False,False,True,False,False
144,5psy6yvl,Qualified,0,0,0,0,0,1,True,1,0,0,1,1,False,True,False,False,False,False,True,False,False,2,6,Closed Won,768,0,True,False,True,False,False,False,False,False,False,True,False,False
145,5rlxkglv,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,False,False,True,False,True,False,False,9,28,Closed Lost,600,-1,False,False,False,False,False,True,False,False,False,True,False,False
146,skm82519,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,8,1,Closed Lost,324,0,False,False,True,False,False,False,False,False,False,False,True,False
147,2w5ksdnm,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,9,28,Closed Won,1344,0,True,False,True,False,False,False,False,False,False,True,False,False
